"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CENTERLINE_PITCH";"COMMENT";"DESCRIPTION";"DESIGNER";"EU_ROHS_COMPLIANCE";"MF";"MP";"MPN";"NUMBER_OF_POSITIONS";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SPICEPREFIX";"TE_PURCHASE_URL";"VERSION";
"3V3";"YEL";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5V";"GRN";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12V";"GRN";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"0.1uF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"F1";"10A";"FUSEBLANK_5X20MM";"FUSE_HOLDER_5X20MM";"Fuse";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";
"F2";"5A";"FUSEBLANK_5X20MM";"FUSE_HOLDER_5X20MM";"Fuse";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"";"";"";"";"Shubham Patil, Heethesh Vhavle";"";"";"";"";"";"";"";"";"";"";"";"";"";"v01";
"IC1";"3V3REG";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"5VREG";"V_REG_LD1117VXX";"78XXL";"LD1117VXX voltage regulator. We carry the 3.3V version (COM-00526) in TO-220 package.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC3-1";"12VREG";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC3-2";"12VREG";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"LiPo BATTERY";"282836-2";"CONN_282836-2";"TERM BLOCK 2POS SIDE ENTRY 5MM";"Unavailable";"5 mm[.197 in]";"282836-2";" TERMI-BLOK PCB MOUNT 90 2P. ";"";"Compliant with Exemptions";"TE Connectivity";"282836-2";"";"2";"";"";"None";"None";"";"";"";"https://www.te.com/usa-en/product-282836-2.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493";"";
"J2";"JETSON";"282836-2";"CONN_282836-2";"TERM BLOCK 2POS SIDE ENTRY 5MM";"Unavailable";"5 mm[.197 in]";"282836-2";" TERMI-BLOK PCB MOUNT 90 2P. ";"";"Compliant with Exemptions";"TE Connectivity";"282836-2";"";"2";"";"";"None";"None";"";"";"";"https://www.te.com/usa-en/product-282836-2.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493";"";
