"Part";"Value";"Device";"Package";"Description";"DESIGNER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SPICEPREFIX";"VERSION";
"3V3";"YEL";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";
"5V";"GRN";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";
"12V";"GRN";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";
"C1";"330uF";"C-US025-050X050";"C025-050X050";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";"";
"F1";"10A";"FUSEBLANK_5X20MM";"FUSE_HOLDER_5X20MM";"Fuse";"";"";"";"unknown";"unknown";"";"";"";"";
"F2";"5A";"FUSEBLANK_5X20MM";"FUSE_HOLDER_5X20MM";"Fuse";"";"";"";"unknown";"unknown";"";"";"";"";
"FRAME1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"Shubham Patil, Heethesh Vhavle";"";"";"";"";"";"";"";"v01";
"FUSE";"GRN";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";
"IC1";"3V3REG";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"IC2";"5VREG";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"IC3-1";"12VREG";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"IC3-2";"12VREG";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"J1";"LiPo BATTERY";"XT60";"XT60";"XT60";"";"";"";"";"";"";"";"";"";
"J2";"JETSON";"POWER_JACK";"POWER_JACK_PTH";"Power Jack Connector";"";"";"";"";"";"CONN-08197";"";"";"";
"J3";"ARDUINO";"POWER_JACK";"POWER_JACK_PTH";"Power Jack Connector";"";"";"";"";"";"CONN-08197";"";"";"";
"J4";"RESV";"POWER_JACK";"POWER_JACK_PTH";"Power Jack Connector";"";"";"";"";"";"CONN-08197";"";"";"";
"J5";"POWER_JACK";"POWER_JACK";"POWER_JACK_PTH";"Power Jack Connector";"";"";"";"";"";"CONN-08197";"";"";"";
"J6";"USB1";"USB_B_PTH";"USB-B-PTH";"USB Type B Connector";"";"";"";"";"";"CONN-08278";"PRT-00139";"";"";
"J7";"USB2";"USB_B_PTH";"USB-B-PTH";"USB Type B Connector";"";"";"";"";"";"CONN-08278";"PRT-00139";"";"";
"JET";"RED";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";
"JP1";"5V PORT";"PINHD-2X5";"2X05";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"JP2";"3V3 PORT";"PINHD-2X5";"2X05";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"PWR";"RED";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";
"R1";"10K";"R-US_V234/12";"V234/12";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R2";"10K";"R-US_V234/12";"V234/12";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R3";"10K";"R-US_V234/12";"V234/12";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R4";"10K";"R-US_V234/12";"V234/12";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R5";"10K";"R-US_V234/12";"V234/12";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R6";"10K";"R-US_V234/12";"V234/12";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
